Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/26/2024,08/27/2024,Shuttle delivery,Merchandise & Inventory,Sale,-22.71,
08/21/2024,08/21/2024,Payment Thank You - Web,,Payment,5300.00,
08/20/2024,08/21/2024,CATCH TABLE,Merchandise & Inventory,Sale,-45.11,
08/14/2024,08/18/2024,KOREA POST OFFICE 6088958,Office & Shipping,Sale,-3.29,
08/12/2024,08/13/2024,Pelican,Travel,Sale,-6.17,
08/09/2024,08/12/2024,SZU TAI KE,Food & Drink,Sale,-7.66,
08/09/2024,08/12/2024,TAN SHEN KOU,Food & Drink,Sale,-151.33,
08/11/2024,08/12/2024,HUANG ZHU ZAO XING SHA,Miscellaneous,Sale,-185.10,
08/08/2024,08/12/2024,TA YIN,Food & Drink,Sale,-18.38,
08/11/2024,08/12/2024,UBER   *LaPizzaLaoP,Food & Drink,Sale,-18.61,
08/09/2024,08/11/2024,foodpanda*yun nan hsia,Food & Drink,Sale,-58.77,
08/09/2024,08/11/2024,UBER FORMOSA CO LTD,Travel,Sale,-6.20,
08/10/2024,08/11/2024,BELLE'S,Food & Drink,Sale,-40.68,
08/09/2024,08/11/2024,foodpanda*bb.q CHICKEN,Food & Drink,Sale,-34.91,
08/10/2024,08/11/2024,FINCH GLOBAL (BVI) LIMITE,Food & Drink,Sale,-467.84,
08/10/2024,08/11/2024,BELLE'S,Food & Drink,Sale,-23.73,
08/10/2024,08/11/2024,UBER   *QBurgerZaoWu,Food & Drink,Sale,-10.03,
08/08/2024,08/09/2024,PAYNOW 000-W.odyssey,Food & Drink,Sale,-105.74,
08/08/2024,08/09/2024,SHIN KONG MITSUKOSHI DEPA,Food & Drink,Sale,-89.30,
08/07/2024,08/09/2024,SHIH MIN,Food & Drink,Sale,-287.34,
08/07/2024,08/09/2024,CHIU TIAO TUNG YEN CHI,Food & Drink,Sale,-158.62,
08/06/2024,08/08/2024,FENG DU ZHUAN YE YOU X,Food & Drink,Sale,-22.90,
08/07/2024,08/07/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-348.83,
08/05/2024,08/07/2024,7-11,Food & Drink,Sale,-1.56,
08/05/2024,08/07/2024,MITSUI,Food & Drink,Sale,-197.88,
08/06/2024,08/07/2024,SHIN KONG MITSUKOSHI DEPA,Merchandise & Inventory,Sale,-18.31,
08/04/2024,08/06/2024,TAIWAN FAMILYMART CO. LTD,Office & Shipping,Sale,-5.42,
08/05/2024,08/06/2024,MO TI KA,Food & Drink,Sale,-43.82,
08/04/2024,08/06/2024,KOR International Ltd,Food & Drink,Sale,-36.77,
08/04/2024,08/06/2024,FENG DU ZHUAN YE YOU X,Food & Drink,Sale,-16.18,
08/02/2024,08/05/2024,TAIWAN FOODEX CO.LTD.,Food & Drink,Sale,-36.09,
08/02/2024,08/05/2024,TAIWAN TAXI,Travel,Sale,-3.66,
08/04/2024,08/05/2024,HAN CHAO JIE,Food & Drink,Sale,-87.65,
08/04/2024,08/05/2024,TAIWAN TAXI,Travel,Sale,-6.13,
08/02/2024,08/05/2024,TAIWAN TAXI,Travel,Sale,-4.58,
08/03/2024,08/05/2024,S0740 NEW VIESHOW,Merchandise & Inventory,Sale,-4.57,
08/02/2024,08/05/2024,WOK BY OBOND,Food & Drink,Sale,-303.25,
08/03/2024,08/05/2024,MTAXI,Travel,Sale,-4.14,
08/03/2024,08/05/2024,BREEZE NAN SHAN,Merchandise & Inventory,Sale,-48.39,
08/04/2024,08/05/2024,SHIH PING FANG,Office & Shipping,Sale,-9.16,
08/02/2024,08/05/2024,EVER RICH D.F.S CORPORATI,Merchandise & Inventory,Sale,-175.44,
08/04/2024,08/05/2024,LinkedIn SN P84354726,Bills & Utilities,Sale,-87.87,
08/01/2024,08/04/2024,(ANTIDOTE)        0147627,Food & Drink,Sale,-110.25,
08/01/2024,08/04/2024,T-MONEY PRIVATE TAXI (K)1,Travel,Sale,-6.38,
08/01/2024,08/04/2024,T-MONEY TAXI(CORP),Travel,Sale,-19.51,
08/01/2024,08/04/2024,PEDEO(FEATHER)    9435110,Food & Drink,Sale,-70.35,
08/02/2024,08/04/2024,PULMUONE FOOD &amp; CULTURE,Food & Drink,Sale,-2.94,
08/03/2024,08/04/2024,Humble House Taipei Curio,Travel,Sale,-123.56,
08/02/2024,08/04/2024,BREEZE NAN SHAN,Merchandise & Inventory,Sale,-50.34,
08/03/2024,08/04/2024,LinkedIn JOB 9804400106,Bills & Utilities,Sale,-159.87,
