Country,Start Price (USD),Price per km (USD)
Switzerland,7.35,4.41
Bahrain,5.31,3.98
Luxembourg,5.42,3.85
Guyana,2.87,3.35
Mauritius,3.32,3.32
Albania,3.27,3.27
Kuwait,3.24,3.24
Jamaica,0.95,3.17
Mozambique,1.88,3.13
El Salvador,7.00,3.00
Venezuela,4.50,3.00
Japan,4.04,2.96
Germany,5.04,2.71
Belgium,5.96,2.71
Netherlands,4.23,2.68
Saudi Arabia,2.67,2.67
Barbados,12.50,2.50
Papua New Guinea,4.95,2.47
Botswana,0.58,2.41
Iceland,5.86,2.40
Dominican Republic,3.19,2.39
Qatar,2.20,2.20
Denmark,7.27,2.18
Malta,5.42,2.17
Ireland,5.37,2.17
Austria,5.31,2.17
United Kingdom,4.92,2.13
France,4.88,2.12
Cyprus,6.21,2.06
Zimbabwe,5.00,2.00
Panama,2.25,2.00
Costa Rica,1.82,2.00
Mexico,2.49,1.99
Sweden,5.97,1.96
New Zealand,2.28,1.92
Peru,2.18,1.91
Australia,3.78,1.83
United States,3.75,1.74
Colombia,1.51,1.70
Nigeria,0.89,1.69
Italy,5.42,1.66
Ivory Coast,1.65,1.65
Norway,11.45,1.64
Chile,0.85,1.60
Kenya,1.54,1.54
Uruguay,1.41,1.53
Iraq,2.29,1.52
Canada,3.12,1.51
Lebanon,5.00,1.50
Ecuador,1.50,1.50
Bolivia,1.45,1.45
Jordan,0.71,1.41
Spain,3.90,1.40
Czech Republic,2.16,1.39
Finland,7.59,1.38
Palestine,2.73,1.36
Hong Kong (China),3.73,1.35
Slovakia,3.25,1.30
Slovenia,2.11,1.30
Paraguay,0.82,1.26
Ghana,1.42,1.24
Macao (China),2.62,1.20
Hungary,2.98,1.19
Thailand,1.04,1.19
Greece,4.34,1.14
Montenegro,1.08,1.08
Lithuania,3.25,1.08
Croatia,3.25,1.08
Nepal,2.15,1.08
Portugal,3.79,1.07
Guatemala,3.73,1.04
South Africa,1.09,1.04
Libya,1.04,1.04
Syria,1.00,1.00
Puerto Rico,8.00,1.00
Argentina,1.47,1.00
Serbia,1.85,0.93
Trinidad And Tobago,1.03,0.88
Poland,2.07,0.88
Estonia,3.25,0.87
Brazil,1.03,0.86
Malaysia,1.12,0.84
Bosnia And Herzegovina,1.39,0.83
Israel,4.53,0.82
Namibia,0.71,0.81
Latvia,2.71,0.81
Oman,3.12,0.78
Romania,0.83,0.76
Kosovo (Disputed Territory),2.17,0.76
Taiwan,2.58,0.76
Singapore,3.44,0.75
Morocco,0.72,0.72
Bulgaria,1.33,0.72
Georgia,1.08,0.72
Kazakhstan,1.20,0.70
United Arab Emirates,3.27,0.68
Vietnam,0.72,0.63
Nicaragua,1.01,0.62
Turkey,0.87,0.62
North Macedonia,1.06,0.62
Mongolia,0.59,0.59
Azerbaijan,1.76,0.59
South Korea,3.10,0.58
Pakistan,0.71,0.53
Cuba,2.14,0.50
Cameroon,0.50,0.50
Fiji,0.87,0.44
Bangladesh,0.82,0.41
Algeria,1.08,0.39
Indonesia,0.61,0.37
Ukraine,1.92,0.36
Russia,1.74,0.35
China,1.38,0.35
Sri Lanka,0.41,0.34
Tunisia,0.29,0.32
Armenia,1.53,0.31
Belarus,1.16,0.31
Uzbekistan,0.50,0.30
Iran,0.50,0.30
Ethiopia,1.30,0.30
Egypt,0.39,0.30
India,0.92,0.29
Moldova,1.82,0.28
Tajikistan,0.92,0.28
Uganda,0.68,0.27
Philippines,0.79,0.26
Kyrgyzstan,1.37,0.23
